Toplam kelime sayısı: 184384
Tekil kelime sayısı: 19456

Kelime                          Frekans  Most Likely Tag
adamant                               1  jj
protests                              1  nns
watered                               1  vbn
legislatures                          1  nns-tl
taunted                               1  vbd
erase                                 1  vb
63                                    1  cd
enforcing                             1  vbg
locate                                1  vb
dewey                                 1  np
contractual                           1  jj
depositors                            1  nns
undermine                             1  vb
gaynor                                1  np
brady                                 1  np
harlingen                             1  np
unconstitutional                      1  jj
impair                                1  vb
county-wide                           1  jj
bexar                                 1  np
tarrant                               1  np
$451,500                              1  nns
$157,460                              1  nns
$88,000                               1  nns
182                                   1  cd
scholastics                           1  nns
parimutuels                           1  nns
berry's                               1  np$
con                                   1  jj
ex-gambler                            1  nn
advocacy                              1  nn
ponies                                1  nns
sledding                              1  nn
meager                                1  jj
validated                             1  vbd
navigation                            1  nn-tl
amended                               1  vbd
dissent                               1  nn
schwartz                              1  np
meantime                              1  nn
crump                                 1  np
saba                                  1  np
17,000                                1  cd
notarized                             1  vbn
correctness                           1  nn
aikin                                 1  np
$12                                   1  nns
storage                               1  nn
formby                                1  np
plainview                             1  np
vacancies                             1  nns
formby's                              1  np$
lieutenant                            1  nn
referendum                            1  nn
wesley                                1  np
seminole                              1  np
texan                                 1  np-tl
hollowell                             1  np
hamlet                                1  nn
114                                   1  cd
$5,000,000                            1  nns
construed                             1  vbd
sway                                  1  vb
cotten's                              1  np$
small-town                            1  nn
buchanan                              1  np
dumas                                 1  np
eligio                                1  np
kika                                  1  np
garza                                 1  np
newton                                1  np
sulphur                               1  nn-tl
peanut                                1  nn
teaches                               1  vbz
junior-senior                         1  jj
math                                  1  nn
fifty-three                           1  cd
co-signers                            1  nns
regents                               1  nns
mclemore                              1  np
letterman                             1  nn
raymondville                          1  np
instructor                            1  nn
strickland                            1  np
culminating                           1  vbg
desertion                             1  nn
100,000                               1  cd
4.4                                   1  cd
virgil                                1  np
pirie                                 1  np
breakups                              1  nns
illegitimacy                          1  nn
nebraska                              1  np
fallacious                            1  jj
restricted                            1  vbn
restriction                           1  nn
anatole                               1  np
forbid                                1  vb
begging                               1  vbg
disrepute                             1  nn
mcclellan's                           1  np$
plagued                               1  vbd
stoppages                             1  nns
provoked                              1  vbd
indignation                           1  nn
footing                               1  vbg
machinists                            1  nns-tl
attributable                          1  jj
overtime                              1  nn
$7,500,000                            1  nns
regulation                            1  nn
contractor's                          1  nn$
unresponsive                          1  jj
undefined                             1  jj
foolish                               1  jj
rig                                   1  vb
allocate                              1  vb
price-setting                         1  nn
multi-product                         1  jj
manufacture                           1  nn
accounting                            1  vbg
flex                                  1  vb
self-restraint                        1  nn
wide-open                             1  jj
decree                                1  nn
fellows                               1  nns
tool                                  1  nn
govern                                1  vb
enforcers                             1  nns
managements                           1  nns
mea                                   1  fw-pp$-nc
culpas                                1  fw-nns
scapegoats                            1  nns
thurman                               1  np
folklore                              1  nn-tl
unconsciously                         1  rb
214                                   1  cd-tl
215                                   1  cd-tl
pp.                                   1  nns-tl
228-229                               1  cd-tl
empires                               1  nns
management's                          1  nn$
evaluating                            1  vbg
irrational                            1  jj
nolo                                  1  fw-vb
contendere                            1  fw-vb-nc
nominal                               1  jj
untrammeled                           1  jj
prosecutions                          1  nns
fictitious                            1  jj
impersonal                            1  jj
pretends                              1  vbz
advocating                            1  vbg
7a                                    1  cd-tl
impolitic                             1  jj
taft-hartley                          1  np-tl
collective-bargaining                 1  nn
palmed                                1  vbn
reasoning                             1  nn
commodities                           1  nns
bags                                  1  nns
wheat                                 1  nn
unsupported                           1  jj
reacting                              1  vbg
antagonism                            1  nn
imposes                               1  vbz
eighteenth-                           1  od
1776                                  1  cd
customs                               1  nns
outlawed                              1  vbn
conspiracies                          1  nns
1825                                  1  cd
carpenters'                           1  nns$
ten-hour                              1  jj
convert                               1  vb
officious                             1  jj
improper                              1  jj
regulated                             1  vbn
manufactured                          1  vbn
norris-laguardia                      1  np
injunctions                           1  nns
aeronautics                           1  nn-tl
assuring                              1  vbg
irrationality                         1  nn
guise                                 1  nn
danbury                               1  np-tl
hatters                               1  nns-tl
loewe                                 1  np-tl
consumers                             1  nns
1914                                  1  cd
stating                               1  vbg
immunization                          1  nn
emasculated                           1  vbd
1922                                  1  cd
alleging                              1  vbg
interfered                            1  vbd
interrupt                             1  vb
indirect                              1  jj
oversimplified                        1  vbn
endorsement                           1  nn
zoned                                 1  vbn
classification                        1  nn
petitioner                            1  nn
requested                             1  vbd
locations                             1  nns
migrants                              1  nns
well-to-do                            1  jj
bostitch                              1  np
exemptions                            1  nns
compatible                            1  jj
preston                               1  np
fallacy                               1  nn
solely                                1  rb
community's                           1  nn$
savior                                1  nn
foundering                            1  vbg
absorbing                             1  vbg
olson                                 1  np
alarm                                 1  nn
foresight                             1  nn
compounds                             1  vbz
metropolitanization                   1  nn
inception                             1  nn
utilizes                              1  vbz
transmission                          1  nn
ensuring                              1  vbg
cowessett-east                        1  np
greenwich-potowomut                   1  np
facility                              1  nn
feelers                               1  nns
suggesting                            1  vbg
potowomut                             1  np
cowessett                             1  np
ignore                                1  vb
developer                             1  nn
update                                1  vb
concepts                              1  nns
eternal                               1  jj
tolls                                 1  nns-tl
irving                                1  np
fain                                  1  np
beth                                  1  np-tl
dewitt                                1  np
clemens                               1  np
mathewson                             1  np-tl
miranda                               1  np
knife                                 1  nn-tl
rozella                               1  np
switzer                               1  np
christians                            1  nps
jews                                  1  nps
brotherhood                           1  nn
bulletin                              1  nn-tl
desperation                           1  nn
undivided                             1  jj
disabilities                          1  nns
non-service                           1  nn
ensuing                               1  vbg
drastically                           1  rb
curtail                               1  vb
coldly                                1  rb
impractical                           1  jj
out-of-step                           1  jj
veteran's                             1  nn$
veterans'                             1  nns$
grinding                              1  vbg
tear-soaked                           1  jj
unsurpassed                           1  jj
proportionately                       1  rb
fosters                               1  vbz
forand                                1  np
initiate                              1  vb
hottest                               1  jjt
dallas-headquartered                  1  jj
allotting                             1  vbg
lucky                                 1  jj
underwriting                          1  nn
over-the-counter                      1  jj
eppler                                1  np
underwriter                           1  nn
$17                                   1  nns
$22                                   1  nns
circulating                           1  vbg
reams                                 1  nns
185,000                               1  cd
$11.50                                1  nns
subscribe                             1  vb
64-cent                               1  jj
run-ups                               1  nns
run-up                                1  nn
resistant                             1  jj
ratios                                1  nns
abilities                             1  nns
fittest                               1  jjt
second-echelon                        1  nn
pound                                 1  vb
morton's                              1  np$
chip-o's                              1  nps
avid                                  1  jj
buyers                                1  nns
world-wide                            1  rb
ginner's                              1  nn$-tl
52-year                               1  jj
weighs                                1  vbz
$250,000                              1  nns
gins                                  1  nns
1896                                  1  cd
occupied                              1  vbn
22-acre                               1  jj
1900's                                1  nns
dallas-based                          1  jj
1834                                  1  cd
prattville                            1  np
cotton-growing                        1  jj
1900                                  1  cd
300-450                               1  cd
lummus                                1  np-tl
lint                                  1  nn-tl
seed                                  1  nn
heaters                               1  nns
boil                                  1  nn
extraction                            1  nn
mechanical                            1  jj
hinckley                              1  np-tl
burr                                  1  nn
extractors                            1  nns
separators                            1  nns
piping                                1  vbg
stacy                                 1  np-tl
belting                               1  nn
bearings                              1  nns
segment                               1  nn
doldrums                              1  nns
registrations                         1  nns
3,399                                 1  cd
2,963                                 1  cd
4,441                                 1  cd
quarter-to-quarter                    1  jj
9,273                                 1  cd
3-month                               1  jj
11,744                                1  cd
1,212,000                             1  cd
april-june                            1  np
makers                                1  nns
compacts                              1  nns
lower-priced                          1  jjr
buick                                 1  np
chrysler                              1  np
mercury                               1  np
distributive                          1  jj-tl
salesmanship                          1  nn
seniors                               1  nns
owens                                 1  np
isodine                               1  np-tl
pharmical                             1  jj-tl
trigg                                 1  np
arrington                             1  np
kaminsky                              1  np
janice                                1  np
whitney                               1  np
fil                                   1  np
terral                                1  np
adamson                               1  np
tommie                                1  np
paschall                              1  np
crozier                               1  np
paulah                                1  np
kestner                               1  np
hillcrest                             1  np
shay                                  1  np
satterfield                           1  np
cluck                                 1  np
deloris                               1  np
carrel                                1  np
carty                                 1  np
edna                                  1  np
neal                                  1  np
mclauchlin                            1  np
rylie                                 1  np
seagoville                            1  np
wolverton                             1  np
sharon                                1  np
flanagan                              1  np
samuels                               1  np
carolyn                               1  np
bert                                  1  np
potter                                1  np
caron                                 1  np
stallard                              1  np
music-making                          1  nn
faze                                  1  vb
truthfully                            1  rb
syrupy                                1  jj
mannered                              1  jj
creston's                             1  np$
schuman's                             1  np$
triptych                              1  nn-tl
wallingford                           1  np
56a                                   1  nn-tl
creston                               1  np
potboiler                             1  nn
hesitation                            1  nn
non-dissonant                         1  jj-tl
schuman                               1  np
billings                              1  np
woodwind                              1  nn
potboilers                            1  nns
unstuffy                              1  jj
out-of-doors                          1  nn
up-to-date                            1  jj
alfredo                               1  np
antonini                              1  np
undergoes                             1  vbz
insemination                          1  nn
adultery                              1  nn-tl
apollo                                1  np
film's                                1  nn$
superfluous                           1  jj
artless                               1  jj
low-budget                            1  nn
censorial                             1  jj
husky-voiced                          1  jj
longsuffering                         1  jj
misguided                             1  vbn
neurotic                              1  jj
sterile                               1  jj
jealous                               1  jj
argues                                1  vbz
sues                                  1  vbz
labeling                              1  vbg
adulterous                            1  jj
glumly                                1  rb
lurid                                 1  jj
chaffey                               1  np
basil                                 1  np
unsympathetic                         1  jj
diffring                              1  np
bystander                             1  nn
protracted                            1  vbn
credibility                           1  nn
unresolved                            1  jj
sorry                                 1  jj
miscellanies                          1  nns
forty-five                            1  cd
diehards                              1  nns
gogol's                               1  np$
ukrainian                             1  jj
folk-tale                             1  nn
bo                                    1  np
fenster                               1  np
soloviev-sedoi                        1  np
thirty-five                           1  cd
lusty                                 1  jj
gregarious                            1  jj
cavorting                             1  nn
madmen                                1  nns
oleg                                  1  np
alexei                                1  np
zhitkov                               1  np
lev                                   1  np
korneyev                              1  np
half-hour                             1  nn
bayaderka                             1  np
petipa                                1  np
lovelorn                              1  jj
searches                              1  vbz
love's                                1  nn$
twenty-eight                          1  cd
fitting                               1  vbg
loveliness                            1  nn
ballerina                             1  nn
ludmilla                              1  np
alexeyeva                             1  np
korneyeva                             1  np
komleva                               1  np
exquisite                             1  jj
vikulov                               1  np
lone                                  1  jj
unequal                               1  jj
stunningly                            1  rb
sokolev                               1  np
galina                                1  np
kekisheva                             1  np
adagios                               1  nns
esthetic                              1  jj
acrobacy                              1  nn
osipenko                              1  np
chernishev                            1  np
kornevey                              1  np
cinq                                  1  fw-cd
gossiping                             1  vbg-tl
stirring                              1  jj
xenia                                 1  np
ter-stepanova                         1  np
pavlovsky                             1  np
fokine's                              1  np$
cygne                                 1  fw-nn-tl
vadim                                 1  np
kalentiev                             1  np
fretting                              1  vbg
frolicking                            1  vbg
yearned                               1  vbd
quadrennial                           1  jj
candidates'                           1  nns$
in-groups                             1  nns
quantities                            1  nns
day-to-day                            1  jj
humiliatingly                         1  ql
astonishingly                         1  ql
warmed-over                           1  jj
eyewitness                            1  nn
zest                                  1  nn
sensitivity                           1  nn
crisply                               1  rb
prose                                 1  nn
close-up                              1  nn
switches                              1  vbz
chronological                         1  jj
horse's                               1  nn$
insiders                              1  nns
distrust                              1  nn
mismanaged                            1  vbd
skillful                              1  jj
top-level                             1  nn
indecision                            1  nn
broody                                1  jj
introspection                         1  nn
trusts                                1  vbz
solitary                              1  jj
seeker                                1  nn
eagerness                             1  nn
identify                              1  vb
landon                                1  np
mastered                              1  vbn
dignified                             1  vbn
neglect                               1  vb
cultivate                             1  vb
admires                               1  vbz
profoundly                            1  rb
portrayed                             1  vbn-hl
fatigue                               1  nn
who's                                 1  wps+bez
chooses                               1  vbz
70-year-old                           1  jj
lily                                  1  np
celebrities                           1  nns
rewards                               1  nns
rainbow-hued                          1  jj
chide                                 1  vb
stylist                               1  nn
vocalism                              1  nn
breathtaking                          1  jj
meyerbeer's                           1  np$
beloved                               1  jj
besmirch                              1  vb
marches                               1  vbz
inexorably                            1  rb
shakily                               1  rb
whiteness                             1  nn
vanished                              1  vbd
bizet's                               1  np$
targets                               1  nns
predictions                           1  nns
soothsayers                           1  nns
b-52s                                 1  nn
20-megaton                            1  nn
apiece                                1  rb
hue                                   1  nn
counter-escalation                    1  nn
100-megaton                           1  jj
200-megaton                           1  jj
neutron                               1  nn
infinitum                             1  fw-nn
contestants                           1  nns
mccone                                1  np
exacerbation                          1  nn
lob                                   1  vb
intercontinental                      1  jj
ranges                                1  nns
inspire                               1  vb
miscarried                            1  vbn
animosity                             1  nn
compulsively                          1  rb
footsteps                             1  nns
emulate                               1  vb
sputnik                               1  nn
chagrin                               1  nn
satellites                            1  nns
imitate                               1  vb
statesmanlike                         1  jj
paeans                                1  nns
publicists                            1  nns
berliners                             1  nps-tl
migrating                             1  vbg
unfavorable                           1  jj
2,200,000                             1  cd
sixty-five                            1  cd
12.8                                  1  cd
m.p.                                  1  np
manchester                            1  np-tl
guardian                              1  nn-tl
departures                            1  nns
1,900                                 1  cd
counterbalanced                       1  vbn
half-city                             1  nn
arnold-foster                         1  np
front-line                            1  nn
resilience                            1  nn
handwriting                           1  nn
reunite                               1  vb
boundary                              1  nn
blocks                                1  nns
avail                                 1  vb
lippmann                              1  np
sober                                 1  jj
commentators                          1  nns
367                                   1  cd
graveyard                             1  nn
mausoleum                             1  nn
mild                                  1  jj
chastisement                          1  nn
haestier                              1  np
disinterred                           1  vbn
tyburn                                1  np
gallows                               1  nn
punishments                           1  nns
whitehall                             1  np
deplores                              1  vbz
karl                                  1  np
macmillan                             1  np
seventy-eight                         1  cd
morticians                            1  nns
presentable                           1  jj
musing                                1  vbg
instability                           1  nn
exhumations                           1  nns
rehabilitations                       1  nns
rake                                  1  vb
predecessor                           1  nn
dispossession                         1  nn
mongi                                 1  np
tunisia                               1  np
boland                                1  np
waylaid                               1  vbn
in-fighting                           1  nn
secretaries'                          1  nns$
skilled                               1  jj
qualification                         1  nn
augurs                                1  vbz
buddhist                              1  np
sanctity                              1  nn
dogma                                 1  nn
unshakable                            1  jj
weltanschauung                        1  fw-nn
compromises                           1  nns
troika                                1  fw-nn
dormant                               1  jj
neutralism                            1  nn
precedents                            1  nns
structurally                          1  rb
pessimists                            1  nns
plunged                               1  vbn
staple                                1  nn
mentalities                           1  nns
crave                                 1  vb
salsich                               1  np
engh                                  1  np
372                                   1  cd
connotations                          1  nns
vigilantism                           1  nn
chevrolet                             1  np
describes                             1  vbz
paramilitary                          1  jj
foley                                 1  np
invaders                              1  nns
commando-trained                      1  jj
fast-moving                           1  jj
minute's                              1  nn$
snook                                 1  np
commando                              1  nn
fetching                              1  jj
launcher                              1  nn
dump                                  1  nn
carbines                              1  nns
pistols                               1  nns
bouffe                                1  fw-jj
frenzy                                1  nn
committed                             1  vbn
naive                                 1  jj
guns                                  1  nns
traitors                              1  nns
desmond                               1  np
connall                               1  np
northwestern                          1  jj-tl
350                                   1  cd
congenial                             1  jj
ritiuality                            1  nn
insuring                              1  vbg
detriment                             1  nn
exported                              1  vbn
1409                                  1  cd
maplecrest                            1  np
mears                                 1  np
evacuate                              1  vb
reiterating                           1  vbg
evacuation                            1  nn
lowe's                                1  np$
emerald                               1  nn-tl
swearing                              1  nn
bryson                                1  np
washington-oregon                     1  np
examined                              1  vbd
specifications                        1  nns
$3.5                                  1  nns
900-student                           1  jj
6-3-3                                 1  cd
8-4                                   1  cd
$581,000                              1  nns
$25-a-plate                           1  nn
blaine                                1  np
whipple                               1  np
edith                                 1  np
ullman                                1  np
nilsen                                1  np
schrunk                               1  np
salter                                1  np
huffman                               1  np
five-year                             1  jj
brod                                  1  np
njust                                 1  np
bubenik                               1  np
stout                                 1  np
culbertson                            1  np
steeves                               1  np
piersee                               1  np
w.m.                                  1  np
heitschmidt                           1  np
coliseum                              1  np-tl
dependence                            1  nn
bulwark                               1  nn
fundamentalism                        1  nn
truths                                1  nns
clarification                         1  nn
infallible                            1  jj
diety                                 1  nn-tl
sinless                               1  jj
substitutionary                       1  jj
bodily                                1  jj
resurrection                          1  nn
exaltation                            1  nn
reelected                             1  vbn
springfield                           1  np
nominating                            1  vbg
surveys                               1  nns
upwards                               1  rb
7,000                                 1  cd
10,000                                1  cd
capsule                               1  nn
pastors                               1  nns
laymen                                1  nns
lending                               1  vbg
ministerial                           1  jj
6-12                                  1  cd
apprentices                           1  nns
well-established                      1  jj
denials                               1  nns
trials                                1  nns
weinstein's                           1  np$
burbank                               1  np
conpired                              1  vbn
deferred                              1  vbn
times-picayune                        1  np-tl
tims                                  1  np
fortier                               1  np
soule                                 1  np
belleville                            1  np
audrey                                1  np
knecht                                1  np
karol                                 1  np
reside                                1  vb
4911                                  1  cd
bleacher-type                         1  jj
halfway                               1  ql
thoroughfare                          1  nn
oath-taking                           1  jj
shrines                               1  nns
monuments                             1  nns
1600                                  1  cd
seven-stories                         1  jj
169                                   1  cd
5000                                  1  cd
suffragettes                          1  nns
1865                                  1  cd
edgar                                 1  np
presides                              1  vbz
powered                               1  vbn
occupying                             1  vbg
16,000                                1  cd
academies                             1  nns
guam                                  1  np
samoa                                 1  np-tl
territories                           1  nns
canal                                 1  nn-tl
gazing                                1  vbg
unpredictability                      1  nn
consequently                          1  rb
rough                                 1  jj
builtin                               1  jj
headache                              1  nn
job-seekers                           1  nns
eight-year                            1  jj
quest                                 1  nn
re-enactment                          1  nn
$22.50                                1  nns
agitating                             1  vbg
withstand                             1  vb
focused                               1  vbn
redistricting                         1  vbg
longstanding                          1  jj
crossroads                            1  nns
loyalists                             1  nns
independents                          1  nns
wreck                                 1  nn
titular                               1  jj
reestablish                           1  vb
loyalist                              1  nn
bypass                                1  vb
functionary                           1  nn
sens.                                 1  nns-tl
eastland                              1  np
stennis                               1  np
stripped                              1  vbn
flows                                 1  vbz
rouge                                 1  np-hl
jimmie                                1  np
troublesome                           1  jj
vexing                                1  vbg
hike                                  1  vb
tardiness                             1  nn
contributing                          1  vbg
inconsistencies                       1  nns
muster                                1  vb
reconvenes                            1  vbz
normalcy                              1  nn
so-far                                1  rb
politicos                             1  nns
ineffectual                           1  jj
consonance                            1  nn
forbids                               1  vbz
inflate                               1  vb
stab                                  1  nn
raiser                                1  nn
arouse                                1  vb
trims                                 1  nns
receptive                             1  jj
allegations                           1  nns
imprudently                           1  rb
house-cleaning                        1  nn
much-copied                           1  jj
craftsman                             1  nn
snubbed                               1  vbn
furnishings                           1  nns
acquired                              1  vbn
mansion's                             1  nn$-tl
1800's                                1  nns
heirs                                 1  nns
descendants                           1  nns
rutherford                            1  np
tranquility                           1  nn-tl
andover                               1  np
authenticated                         1  vbn
acquisition                           1  nn
sidechairs                            1  nns
armchairs                             1  nns
aid's                                 1  nn
miniature                             1  jj
refurbishing                          1  nn
unveiled                              1  vbn
rarity                                1  nn
antiquarians                          1  nns
mantlepiece                           1  nn
mcintyre                              1  np
woodcarver                            1  nn
competed                              1  vbd
1792                                  1  cd
mantel                                1  nn
demolished                            1  vbn
fireplace                             1  nn
lenygon                               1  np
lenygon's                             1  np$
lehman                                1  np
mccluskey                             1  np
jussel                                1  np
wellknown                             1  jj
75-minute                             1  jj
85-piece                              1  jj
greet                                 1  vb
325                                   1  cd
cardiac                               1  jj
welcoming                             1  vbg
spangled                              1  jj-tl
mounting                              1  vbg
white-clad                            1  jj
england-born                          1  np-tl
vermont                               1  np
duplicated                            1  vbn
sun-tanned                            1  jj
paused                                1  vbd
blonde                                1  jj
holbrook                              1  np
rainier                               1  np-tl
nuns                                  1  nns
sharpe                                1  np
tag                                   1  nn
lemonade                              1  nn
music-loving                          1  jj
rapt                                  1  jj
liaison                               1  nn
sousa                                 1  np
85-student                            1  jj
curator                               1  nn
85                                    1  cd
self-portrait                         1  nn
raphael's                             1  np$
alba                                  1  np
madonna                               1  np
monet                                 1  np
rheims                                1  np
gogh                                  1  np
impressionist                         1  nn
downstairs                            1  nn
bales                                 1  np
confederacy                           1  nn-tl
aide                                  1  nn
blue-uniformed                        1  jj
boucher                               1  np
courbet                               1  np
fra                                   1  np
angelico                              1  np
rotunda                               1  nn
seemingly                             1  rb
collonaded                            1  jj
sphynxes                              1  nns
perched                               1  vbn
1733                                  1  cd-tl
nw.                                   1  nn-tl
bustling                              1  vbg
1859                                  1  cd
1891                                  1  cd
high-ceilinged                        1  jj
eulogized                             1  vbn
historian                             1  nn
crypt                                 1  nn
1500                                  1  cd
biennial                              1  jj
5-day                                 1  jj
2:30                                  1  cd
washington-alexandria                 1  np-tl
alexandria                            1  np
monotonous                            1  jj
chatting                              1  vbg
ignoring                              1  vbg
disgusted                             1  vbn
listened                              1  vbd
ugf                                   1  nn
antagonisms                           1  nns
solving                               1  vbg
bed-time                              1  nn
preceeded                             1  vbn
rough-housing                         1  nn
givers                                1  nns-tl
materialize                           1  vb
rangers                               1  nns
leisurely                             1  rb
emperor's                             1  nn$
lions                                 1  nns
uncertainties                         1  nns
lion                                  1  nn
ruined                                1  vbn
precaution                            1  nn
homecomings                           1  nns
cruel                                 1  jj
perpetually                           1  rb
wanders                               1  vbz
strolled                              1  vbd
coed                                  1  nn
ache                                  1  nn
perfume                               1  nn
aroma                                 1  nn
oblivious                             1  jj
tethered                              1  vbn
goat                                  1  nn
titter                                1  vb
loudly                                1  rb
bridgework                            1  nn
bifocals                              1  nns
blur                                  1  vb
unaccountably                         1  ql
unripe                                1  jj
persimmons                            1  nns
hails                                 1  vbz
slap                                  1  vb
exhausted                             1  vbn
middle-age                            1  nn
hairs                                 1  nns
eyeglasses                            1  nns
fading                                1  vbg
by-gone                               1  jj
puffs                                 1  vbz
churning                              1  nn
straining                             1  vbg
